Booster,Learning_Rate,Max_Depth,Gamma,Min_Child_Weight,Alpha,Predicted_MSE,Predicted_Pinball,Benchmark_MSE,Benchmark_Pinball,Temp_MSE
gbtree,0.1,3,0,1,1e-06,17202.90246607303,128.01584803637508,20512.404296915,193.59964930235552,1002.8776950656325
gbtree,0.1,3,0,2,1e-06,17140.196542351347,127.70915026485541,20512.404296915,193.59964930235552,1002.8776950656325
gbtree,0.1,3,0,3,1e-06,17202.105015288394,127.6528809697524,20512.404296915,193.59964930235552,1002.8776950656325
gbtree,0.1,3,5,1,1e-06,17202.898474734367,128.01583938790412,20512.404296915,193.59964930235552,1002.8776950656325
gbtree,0.1,3,5,2,1e-06,17219.245875105895,127.94044187878427,20512.404296915,193.59964930235552,1002.8776950656325
gbtree,0.1,3,5,3,1e-06,17217.279769013363,127.93398060778355,20512.404296915,193.59964930235552,1002.8776950656325
gbtree,0.1,3,10,1,1e-06,17209.27885221091,127.92502115135103,20512.404296915,193.59964930235552,1002.8776950656325
gbtree,0.1,3,10,2,1e-06,17210.45137029817,128.12727174835513,20512.404296915,193.59964930235552,1002.8776950656325
gbtree,0.1,3,10,3,1e-06,17254.922374770293,127.98919531423428,20512.404296915,193.59964930235552,1002.8776950656325
gbtree,0.1,10,0,1,1e-06,18369.132609877062,137.68317469845033,20512.404296915,193.59964930235552,1214.9114292176246
gbtree,0.1,10,0,2,1e-06,18266.60152719248,137.6899958171318,20512.404296915,193.59964930235552,1218.9025732246066
gbtree,0.1,10,0,3,1e-06,18476.950560769485,137.85702114538046,20512.404296915,193.59964930235552,1228.0459683849058
gbtree,0.1,10,5,1,1e-06,18249.682183298188,137.0886486598368,20512.404296915,193.59964930235552,1202.5600938692035
gbtree,0.1,10,5,2,1e-06,18324.080470214478,137.71736680683787,20512.404296915,193.59964930235552,1213.0917673923232
gbtree,0.1,10,5,3,1e-06,18264.399844394247,137.23078754370454,20512.404296915,193.59964930235552,1219.262304776519
gbtree,0.1,10,10,1,1e-06,18231.62050344329,137.14822214955885,20512.404296915,193.59964930235552,1209.2913793626246
gbtree,0.1,10,10,2,1e-06,18552.330024339924,137.54962075950584,20512.404296915,193.59964930235552,1229.2821906892177
gbtree,0.1,10,10,3,1e-06,18241.155948097334,136.815305722029,20512.404296915,193.59964930235552,1215.7683910706169
gbtree,0.1,15,0,1,1e-06,19377.859279316726,141.06832769054714,20512.404296915,193.59964930235552,1319.6255101681704
gbtree,0.1,15,0,2,1e-06,19131.759975677673,140.86492756968306,20512.404296915,193.59964930235552,1321.551034380115
gbtree,0.1,15,0,3,1e-06,19115.886284758908,141.11310462899684,20512.404296915,193.59964930235552,1315.7213495433239
gbtree,0.1,15,5,1,1e-06,19250.964105412262,141.1846857430204,20512.404296915,193.59964930235552,1316.9747132189168
gbtree,0.1,15,5,2,1e-06,19103.733760924173,141.163574242946,20512.404296915,193.59964930235552,1317.5168252121025
gbtree,0.1,15,5,3,1e-06,19239.219378043093,141.25649675310217,20512.404296915,193.59964930235552,1323.6285816918298
gbtree,0.1,15,10,1,1e-06,19257.637964797785,140.68939054190807,20512.404296915,193.59964930235552,1309.094120206929
gbtree,0.1,15,10,2,1e-06,19264.309338893145,141.1080038730939,20512.404296915,193.59964930235552,1321.4589223245202
gbtree,0.1,15,10,3,1e-06,19342.651087700226,141.16323512139923,20512.404296915,193.59964930235552,1315.7257212145516
gbtree,0.25,3,0,1,1e-06,17509.879906709877,129.66765087079926,20512.404296915,193.59964930235552,1014.4263346831466
gbtree,0.25,3,0,2,1e-06,17577.03292495066,129.63966456115327,20512.404296915,193.59964930235552,1014.4263346831466
gbtree,0.25,3,0,3,1e-06,17577.02231757832,129.6396261972921,20512.404296915,193.59964930235552,1014.4263346831466
gbtree,0.25,3,5,1,1e-06,17509.879906709877,129.66765087079926,20512.404296915,193.59964930235552,1014.4263346831466
gbtree,0.25,3,5,2,1e-06,17577.03292495066,129.63966456115327,20512.404296915,193.59964930235552,1014.4263346831466
gbtree,0.25,3,5,3,1e-06,17577.02231757832,129.6396261972921,20512.404296915,193.59964930235552,1014.4263346831466
gbtree,0.25,3,10,1,1e-06,17509.879906709877,129.66765087079926,20512.404296915,193.59964930235552,1014.4263346831466
gbtree,0.25,3,10,2,1e-06,17577.03292495066,129.63966456115327,20512.404296915,193.59964930235552,1014.4263346831466
gbtree,0.25,3,10,3,1e-06,17577.02231757832,129.6396261972921,20512.404296915,193.59964930235552,1014.4263346831466
gbtree,0.25,10,0,1,1e-06,18626.711135233698,137.51892011577507,20512.404296915,193.59964930235552,1222.4302155023734
gbtree,0.25,10,0,2,1e-06,18370.670266262103,136.80760455920324,20512.404296915,193.59964930235552,1222.5052296483443
gbtree,0.25,10,0,3,1e-06,18785.77108853627,137.59555311049496,20512.404296915,193.59964930235552,1248.0593576308256
